timestamp,value
2024-01-01 00:00:00,10.5
2024-01-01 01:00:00,11.2
2024-01-01 02:00:00,12.1
2024-01-01 03:00:00,13.0
2024-01-01 04:00:00,12.8
2024-01-01 05:00:00,13.5
2024-01-01 06:00:00,14.2
2024-01-01 07:00:00,15.1
2024-01-01 08:00:00,16.3
2024-01-01 09:00:00,17.5
2024-01-01 10:00:00,18.2
2024-01-01 11:00:00,19.1
2024-01-01 12:00:00,20.3
2024-01-01 13:00:00,21.5
2024-01-01 14:00:00,22.1
2024-01-01 15:00:00,22.8
2024-01-01 16:00:00,23.2
2024-01-01 17:00:00,23.5
2024-01-01 18:00:00,23.1
2024-01-01 19:00:00,22.5
2024-01-01 20:00:00,21.8
2024-01-01 21:00:00,20.9
2024-01-01 22:00:00,19.5
2024-01-01 23:00:00,18.2
2024-01-02 00:00:00,16.8
2024-01-02 01:00:00,15.5
2024-01-02 02:00:00,14.3
2024-01-02 03:00:00,13.2
2024-01-02 04:00:00,12.5
2024-01-02 05:00:00,12.1
2024-01-02 06:00:00,11.8
2024-01-02 07:00:00,11.5
2024-01-02 08:00:00,11.9
2024-01-02 09:00:00,12.5
2024-01-02 10:00:00,13.3
2024-01-02 11:00:00,14.2
2024-01-02 12:00:00,15.5
2024-01-02 13:00:00,16.8
2024-01-02 14:00:00,18.1
2024-01-02 15:00:00,19.3
2024-01-02 16:00:00,20.5
2024-01-02 17:00:00,21.2
2024-01-02 18:00:00,21.8
2024-01-02 19:00:00,22.1
2024-01-02 20:00:00,21.5
2024-01-02 21:00:00,20.8
2024-01-02 22:00:00,19.9
2024-01-02 23:00:00,18.5
2024-01-03 00:00:00,17.2
2024-01-03 01:00:00,16.1
2024-01-03 02:00:00,15.3
2024-01-03 03:00:00,14.5
2024-01-03 04:00:00,13.8
2024-01-03 05:00:00,13.2
2024-01-03 06:00:00,12.9
2024-01-03 07:00:00,13.5
2024-01-03 08:00:00,14.3
2024-01-03 09:00:00,15.5
2024-01-03 10:00:00,16.8
2024-01-03 11:00:00,18.2
2024-01-03 12:00:00,19.5
2024-01-03 13:00:00,20.8
2024-01-03 14:00:00,21.9
2024-01-03 15:00:00,22.8
2024-01-03 16:00:00,23.5
2024-01-03 17:00:00,24.1
2024-01-03 18:00:00,24.3
2024-01-03 19:00:00,23.8
2024-01-03 20:00:00,23.1
2024-01-03 21:00:00,22.3
2024-01-03 22:00:00,21.2
2024-01-03 23:00:00,19.8
2024-01-04 00:00:00,18.5
2024-01-04 01:00:00,17.3
2024-01-04 02:00:00,16.2
2024-01-04 03:00:00,15.1
2024-01-04 04:00:00,14.3
2024-01-04 05:00:00,13.8
2024-01-04 06:00:00,13.5
2024-01-04 07:00:00,14.1
2024-01-04 08:00:00,15.2
2024-01-04 09:00:00,16.5
2024-01-04 10:00:00,17.9
2024-01-04 11:00:00,19.3
2024-01-04 12:00:00,20.7
2024-01-04 13:00:00,22.1
2024-01-04 14:00:00,23.3
2024-01-04 15:00:00,24.2
2024-01-04 16:00:00,24.9
2024-01-04 17:00:00,25.3
2024-01-04 18:00:00,25.1
2024-01-04 19:00:00,24.5
2024-01-04 20:00:00,23.7
2024-01-04 21:00:00,22.8
2024-01-04 22:00:00,21.5
2024-01-04 23:00:00,20.1
2024-01-05 00:00:00,18.8
